InputStoryid,Enter sentence 1,Enter sentence 2,Enter sentence 3,Input sentence 4,Random Fifth Sentence Quiz 1,Random Fifth Sentence Quiz 2,Answer the right end
202a3b75-1851-44dc-9162-4cd6123e5ef5,One day Bob and Jim were playing ball at home.,They knocked over the vase and it broke into many pieces.,They are afraid that their mother will be angry with them.,They got some glue and carefully glued the vase back together.,Their mother loves her new broken vase.,The glue held the vase together and their mother never noticed.,2
69742aaa-ec73-4354-9de2-2ee4f8e19ec1,Steve was very sad.,Steve's girlfriend broke up with him.,He decided to write a song for her.,He has poured his heart and soul into this song.,Steve wondered if they would ever get back together.,Steve drove an hour to a strip club to buy drugs.,1
e7594236-eaed-46c5-8389-f1e099bd5e11,Lauren has always wanted to wear skinny jeans to parties.,"However, she needs to lose weight so that the skinny jeans will look good.",Lauren embarked on a challenging exercise programme.,She's finally thin enough to wear skinny jeans.,She wore them proudly to the next party.,She is jealous.,1
81a217ff-717d-4416-a45b-25fe7be0d0fa,Sonny lived in Texas and it was a hot summer day.,He was so disgusted by the heat.,He decided to find a way to calm down.,"At first, he couldn't think of anything.",He decided to go and turn on his heater.,He then decided to jump into his pool.,2
a94a118d-643c-434e-8a5b-626aff2969e1,"Ronald has two children, a boy and a girl.",This is more than enough.,"To be honest, he really didn't want two.","One day, his wife told him that baby number three was on the way.","He was deeply uncomfortable, but was afraid to leave.",His eyes sparkled with excitement.,1
e56d5c8d-221c-4388-9a15-c38af332120c,"Last Wednesday, I was on a hike.","While walking, I stumbled upon something that scared me.",They were in front of me was a 4 foot long snake with gleaming eyes.,I screamed and ran all the way back to the main road.,I am a biologist who studies snakes.,I followed the road back to the car.,2
3bb6cd39-ddc2- 4265-9119-3b7ec21417e9,Mary likes to drink coffee every morning.,Today she was in a hurry.,She went to a drive-through coffee shop.,She drove off and realised she had ordered the wrong coffee.,Mary bumped into a poll.,"Mary continued to drive, still drinking.",2
dad91d83-5774-4465-9256-0168882ff253,Billy wants to be a doctor.,He went to university and became a doctor.,"After he graduated, he changed his mind.","Billy became a nurse, not a doctor.",He never regretted his decision.,He became very depressed and became an alcoholic.,1
1edab233-bd17-466b-b096-763a79b68f7f,Quinton was evicted from his flat.,He was broke and had no income.,"One day, he decided to spend his last dollar on the lotto.","To his disbelief, he won $50,000!",Quinton felt depressed.,Quinton was delighted.,2
d1fdbb06-3fda-49a6-8987-4aa10930bb53,"When Igor woke up, he began to prepare for work.",He turned on the shower and waited for it to get hot.,The water is still cold.,He was torn between taking a cold shower and not taking one.,He ate a muffin.,Igor took a cold shower.,2
e04b2175-4e43-4660-a9bc-fbb0f0a2db6d,Tara prefers big band music to all the options available.,She loves all the horns and other brass instruments involved.,She tried to find fellow big band enthusiasts.,Her attempts were in vain.,Tara still enjoys listening to it herself!,Tara is a bad girl,1
dac28c5f-fbd7-48dc-810e-c5126ac2ac89,I went to Washington DC to visit my boyfriend.,We went to many places in the town.,"But there was one place I wanted to go, and that was the White House.",He took me to the White House and I was delighted.,We took a tour of the area and took in the history of the place.,We left the White House abruptly and did not visit.,1
61eaf272-ed42-4f8f-be21-d1f5d08232dd,"Last autumn, my son bought a drum set for his one-year-old niece.","The set has drumsticks, cymbals and a seat.",His niece lives in New York City.,She saw it when she arrived and was thrilled.,She hates music.,She wanted to play the drums.,2
15f0716f-58ba-42c1-8551-969e4fed73b8,Maggie gave her first piano recital tonight.,She was very nervous.,"When she got on stage, she was shaking.",Thanks to her perfect play at the end.,Maggie is encouraged to do more.,Maggie gave up the piano.,1
9b84f608-dfbd-4e83-8f09-82371de7b597,I decided to register a Christmas club at the bank.,I called the teller and asked when I could do this.,She told me that I could come at any time.,I went and signed up for the programme this morning.,I'm glad I signed up.,I regret signing up.,1
549ab2c4-c609-4c30-b0b9-ce126b9cb78c,Mac has a vegetarian friend coming over for dinner.,"He groaned, knowing he couldn't do steak or hamburgers.",Then he remembered a recipe for alfredo sauce made with cashews.,"To his surprise, the sauce came out creamy and delicious.",He decided to use meatloaf instead.,They all enjoyed the meal.,2
8752af72-d046-4b0c-b8f2-70b7830775fa,Ryan worked in the security department of the mall.,He often works night shifts.,One day he saw a raccoon in the mall.,He stared at it for hours until it left.,Ryan is blind.,Ryan finds his job rather dull.,2
c578bb8a-96b3-4f9c-8e57-086bb7a1b4ec,Johnny's teacher treated the class to homemade snow cones.,The teacher asked each student to choose a coloured syrup topping.,"When it was his turn, Johnny got angry when he saw that there was only one colour left.",Johnny's teacher asked what was wrong.,Johnny told his teacher that he was happy.,Johnny told his teacher he was upset that he didn't get more colours.,2
2f54110e-3ffe-45b0-84af-58c6e04c9056,Jill convinces her boyfriend Joe to go with her to Geocache.,"He didn't think it sounded funny, but decided to humour her anyway.",They searched for the location where Geocache should be.,"After more than an hour of searching, they were unable to find it.",Jill hopes they will find it soon.,Jill was glad she hadn't brought Joe.,1
aff182db-fdb7-40d4-b5e1-b7832062b4c8,Brigid and her friend Ella both took piano lessons.,Ella's father bought her an expensive grand piano from a well-known manufacturer.,Brigid's father could only buy her a second-hand upright piano.,But Ella is a silly and insensitive girl who has never practised.,Ella did not become good at the piano.,Ella then became a star pianist.,1
b25259c8-032f-41ee-b65d-91e191d79bee,Dave wants to buy a gun.,He went to the gun shop and asked a lot of questions.,He looked at the big guns and small guns.,He decided he wanted to buy a big hunting rifle.,Dave is against the Second Amendment.,Dave bought it and enjoyed his purchase.,2
d3b8322e-701b-4fc9-9c22-19829846be51,Ross took the train to Long Island.,"There, she went to the very tip of the island.",She went to the beach at Pointe Montauk.,It is cold and windy.,Rose was so warm that she took off her jacket.,Rose shields her face from the wind.,2
0651e816-17ac-4226-9b7f-6391936ced7d,Drew is using a typewriter for a special project.,He tries to be careful since he can't erase his own words.,"However, he eventually fell asleep.",His head fell on the keyboard and a few letters were typed out.,Drew is happy that his project will not have any mistakes.,Drew had to start retyping the paper again.,2
8eb0f3e2-f19f-46d6-8ad5-fef5aee976bf,Sarah has always been fascinated by the night sky.,"Noticing her enthusiasm, Sarah's father bought her a new telescope.",She was ecstatic.,She went outside every evening to diligently view the night sky.,Sarah's father took back the binoculars.,Sarah is loving her new telescope.,2
b5225b40-7c56-4569-907e-8ac547e7ed7b,Kristen is fed up with her room.,She needs to move it around for a change.,She hasn't moved in over four years.,"After moving everything, she saw a huge stain where her bed had been covered.",Melanie decided that the room now looked perfect.,She decided to lay a rug over the stain.,2
3a97e4bc-6cc7-4c33-bf8f-4f31ebca4e6e,My sister moved in with me when she was 35 years old.,She had been living in a run-down trailer park with a wife-beater.,"On a cold, dark night, the man followed her to my house.",He broke into my house while we were sleeping.,We woke up to find him slipping in through the window.,He sat at a table with us and we all drank wine.,1
8078b014-a08d-4e23-8c52-bc82316d7207,My parents fell out of love.,"I don't know when it happened, but it seems to be mutual.",They decided to end things amicably.,"As much as it hurts me, I'm glad they chose to do what makes them happy.",My parents want to live together.,My parents were to live separately.,2
92eac3bf-1e5f-428e-bad3-52b72ff12be6,Anna is going to have a younger sibling.,Her mother is in hospital and Anna is full of hope.,"She really wanted a little sister, but not a little brother!",Anna was overjoyed when her mother returned home with the baby.,The newborn child is a boy.,The newborn child is a girl.,2
90396c59-53e9-41fd-b6c2-fe87d57e0064,Monica decided to play Truth or Dare with her friends.,"None of them dared to confess anything, and only chose Dare.","As time went on, The Great Adventure became progressively more refined.","Monica dared her friend to steal Doritos from a shop, and the friend did just that.",Monica and her friends enjoyed a dolce de leche before their next big adventure.,Monica couldn't explain why her friend was stealing Doritos.,1
642a4773-0c58-41c4-85ed-c9544b642ded,Ray went to a friend's house for a sleepover.,He realised he had forgotten his toothbrush.,He can't brush his teeth!,"Ray tried to use toothpaste on his fingers, but it didn't work.","Finally, Ray asked his friend if he had a spare toothbrush.",Ray did a great job brushing his teeth.,1
896f3a7a-76b3-4cf9-ac0b-286e62200f8e,Ellie has a lot of homework to do.,She did her maths homework first.,"When she finished, she wrote a book report.","The last assignment was a study guide, which took her ten minutes.",Ellie was felt to have been prepared for her studies.,Ellie decided not to go to school the next day because she was ahead.,1
792e9960-ab64-4b97-a921-5f2eae24af47,Don loves comic books.,He consistently collects questions about his favourite stories.,"As he grew older, his love of comics deepened.",He decided he wanted to set up his own comic book company.,"He named it ""Don's Cartoon"".",Don threw his comic book in the trash.,1
70a48e6f-a798-4f68-a865-4cecdac6c262,Arnold is afraid of bats.,"He thinks that if they bite him, he will become a vampire.","One day, he saw a bat in the bathroom.",He was terrified to the point of screaming.,Arnold took a relaxing shower with his bat.,The bat flew straight to the source of the scream.,2
3afb1043-b5e5-4935-9d2a-819270164bec,Shaun is homeless.,He was begging for money on the street.,"For a week, no one gave him any money.",He was starving.,Shaun decided to go to the shelter.,Shaun eventually moved to a large house.,1
8591a808-13de-487c-8468-0d49058b5ad3,Two hobos agree to cook together.,Each began searching for ingredients.,The first to return was a broken boot.,The second one back was a penny wingnut.,They decided they couldn't cook.,Two homeless people eating their cheeseburgers.,1
7a3f8018-cb36-403d-b464-14f3a6872b70,Judy and Bill getting ready for dinner with their parents.,Judy made potato gratin and gravy rolls.,Bill set up the table and put on some background music.,The doorbell rang and it was their parents.,Judy and Bill were highly unprepared.,Judy and Bill were very well prepared.,2
cca245f8-ea9f-4110-87c5-9b23b17ce789,Sal's wife accidentally tripped over him and injured his leg.,She felt so bad that she waited for him hand and foot.,She buys him food and gives him messages.,Sal loves all the attention.,Sal was angry with his wife.,Sal's leg eventually healed.,2
f5666b2f-ccbb-421c-ad5a-a0dd0e3cf52a,One weekend we wanted to watch a movie with our children.,There are two films they want to see.,So we decided to divide and conquer.,I went to one with my two children and my husband and son went to the other.,"After that, we got divorced.",Both groups were happy to see the film they wanted.,2
e46e91fe-65e7-42f0-93ed-bebd23ff903c,Amy's sister took her to the beach to surf during her holiday.,Amy hurriedly put on her wetsuit.,The instructor was very patient when Amy couldn't get the hang of it.,It was finally time for Amy to try it herself.,Amy decided to go swimming.,Amy was amazed at how well she was doing.,2
ca41e234-633f-4b0b-8f7f-7cca85b688ea,Kai has built himself a raft.,"He used scrap planks of wood, and nails.",He has been working hard all spring.,In the summer he tested it in the lake.,Kay's raft floats.,Kay uses the raft as firewood.,1
8683daa0-eb11-418c-b411-046283484c92,Max is a very bright boy.,But he gets lost in his own vivid imagination.,"No matter how hard he tries, he finds himself daydreaming.",Max did not do very well in school.,Max was never successful.,Max's teacher praised him for his creativity.,1
8f7be9c8-a310-4319-9ae1-5c20b9b0f292,Gina at her grandfather's funeral.,Gina watched as her friends made comments and told stories about him.,The story is interesting and entertaining.,Gina had the opportunity to see her grandfather from a different perspective.,She knew he was someone she would always remember.,She realised how boring his life was.,1
2c2e3bc5-3cda-4c6b-9173-41e4eeaf36c7,Ashley has been feeling sick all day today,She felt like she was going to throw up.,She asked her boss if she could go home today.,Her boss asked her to leave her job.,Ashley goes surfing.,Ashley went home to sleep and recuperate.,2
cca36237-4d06-4282-b20a-47006348b0a2,Marley slept horribly every night.,She decided that she wanted a new bed.,She went to the nearest shop but could not find a bed she liked.,She told her mother about her sleep problems.,Her mother took her to see a sleep specialist.,Her mother had given her an alarm clock.,1
61d3fcb2-33e6-47c7-8ee2-80230d9a0717,Joe is an aspiring journalist.,But he has always been very frustrated with the press.,"He considered going back to school, but decided against it.","Finally, he found a well-paying job.",Joe couldn't find a job.,Joe was grateful and went to work.,2
3be5ad30-ff57-4914-99b8-b89ae807bf6c,Lizzy lives on a tropical island.,Every day they go to the banana plantation to get some.,Today Liz wanted to pick her own bananas.,She climbed high up the tree and realised how big the string of trees was.,Liz decided she didn't like bananas.,Lizzy needs help to get the banana off.,2
b0646c99-45f2-4db5-bc83-e60e69b37387,"In 1997, I got on an old bus.","A local group rented a 1957 bus, painted in old colours.",I got on the bus as it went all over the Boston suburbs.,I took a lot of photos.,I have a fear of heights.,I had a great time!,2
a555794a-41f6-4893-9125-1a0a3a5445f1,Brian didn't know why his arm was itching.,He scratched his arm until it left a scar because it was so bad.,Eventually he went to see a doctor and found out he had poison ivy.,The doctor gave him ointment and some antibiotics.,Brian went home in pain.,Brian was relieved to go home.,2
418b31ba-eb1a-4986-b569-dafa82f58bc3,Tony and Mark are fierce rivals on the basketball court.,"Every day after school, they meet up to play at the local Black Top.",They will always play one-on-one.,They were always so evenly matched.,Tony would suck Mark's dick.,The competition was very close.,2
3213262c-8178-478f-9528-61fdc6f89dee,Becky and her friends decided to make some candy bars.,Got all the ingredients together and got to work.,The girls had a great time.,"When the sweets have cooled, they put them in bags.",The girls decided they never wanted to make sugar cubes again.,Her friends suggested that she should sell the sweets to bakeries.,2
900e1a7a-c221-4b15-9998-750301bd6a31,Robyn went to the gym.,She worked out for two hours.,"While at the gym, she did arms and abs.",She was determined to get in shape.,She continues to work out for the rest of the year.,She went home and ate three boxes of ice cream.,1
89cbffbf-4258-47a7-944a-9241ec0c2f17,Rachel worked hard and bought her first home.,She is very proud of her achievements.,"Unfortunately, she lost her job and eventually her home.",She decided to live in a hotel and look for a new job.,She was pleased with the turn of events.,She became depressed.,2
9b291170-7135-4249-9411-24c27a685414,Bill saved all his pocket money for two weeks last month.,It's for one of the idiots in the shop.,He brought all the chances to buy this fool.,"Walking home, he tripped and fell.",Bill thought he was the luckiest man alive.,Bill was sad to see the sucker full of mud on the ground.,2
f5625636-c343-4673-8695-dd8f5ed5058e,Neil is visiting Romania.,He had just arrived and was excited to see Transylvania.,"When he got there, he saw the magnificent old castle.",He also found friendly locals.,Neil has decided never to return to Transylvania.,Neil enjoyed his visit to Transylvania.,2
4491c70f-158c-4c4b-b5ed-87b3812711f3,"Last week, a stunt double tried out a new stunt.",This involved a major car accident.,Something went wrong and one of the seat belts broke.,Stuntmen are ejected from their seats.,Stuntmen are paralysed.,The stunt man loved it.,1
b666186a-9b57-42d0-adb8-96ccab629c82,"Pamela is excited to finally have a boyfriend, Ralph.",Ralph never listened to what she had to say.,He rarely showed up on time.,He flirts too much with other girls.,Ralph then asked Pamela to marry him.,Pamela decides to break up with Ralph.,2
76e63073-9411-4974-b799-5d2d97b66955,Helen wants to go to space.,She decided to become an astronaut.,She studies very hard.,She passed all the tests!,Helen is looking forward to her first assignment.,Helen is afraid of seeing outer space.,1
9f211d53-a8ce-4dbb-9962-d0a7a431775c,Hayley loves to play with her friends.,She has a playmate every week.,"One day, Hayley's mum got into an argument with the other mums.",Hayley was told they could never go back.,Hayley is excited to see them again tomorrow.,Hayley cried at the thought of not seeing her friends.,2
7afb9047-0f6b-42cc-9787-34aacba9d03b,Mabel's breath always smells of mint.,"It was the same in her house, at least as he remembered it.",To this day he still keeps the mints in his cupboard.,They reminded him of his grandmother and what she meant to him.,He hated his grandmother.,It is a wonderful memory.,2
a7055395-54de-49ed-83dd-c185ea15d576,Valerie decided she wanted to learn German.,She signed up for a class to teach her.,"When she is not in class, she studies very hard.",Soon she decided to practice speaking German with a German friend.,Valerie wants to visit Germany.,Valerie hopes to one day live in Italy.,1
e45e2974-a14f-4f8b-b681-ca7cb37cd2ee,Tim has just bought a new phone,He dropped it within a few time hours of getting it.,He decided he needed a case to protect his phone.,He went to the local shop and bought a waterproof phone case.,Tim's phone was ruined by the splashing of water.,Tim will never have to worry about it falling into the water again.,2
2f5c65fb-843e-4997-8140-13f5f38c9137,Gina's family pulled up to a rest stop on the side of the highway.,Gina came out and stretched her legs.,At the station there is a petrol station and a Burger King.,Gina usually doesn't like Burger King's fries.,Gina walks on a road without her family.,Gina was hungry and the fries tasted good this time.,2
f3c5e059-72e7-412b-9248-80396c4e240a,"Late one night, I received a phone call.",I thought it was a friend of mine and answered.,The woman on the other end of the phone was a stranger to me.,I asked who it was and why I was calling.,She said she was my long-lost mother.,I said goodbye to the person on the phone.,1
2ad06102-faf3-4d63-8256-be03d543ce2c,Nelly the cashier had a bad day in the shop.,She kept making little mistakes and everyone was angry.,It's not her fault that even her last customer went crazy.,"As soon as it was time for a break, she rushed outside.",Nelly hates the outdoors.,The fresh air was just what Nelly needed to wake her up.,2
2db35e99-36cf-4fbd-876d-d26fe8b649c9,Alec's daughter wants more blocks to play with.,Alec believes that blocks develop her scientific mind.,Alec bought blocks with letters on them.,"Alec's daughter uses them to make words, not structures.",Alec and his wife decided to go to the movies.,Alec is happy to see his daughter's language skills developing.,2
7c8964d9-c397-485d-86dc-6b95fb3be64a,I decided to murder my neighbour.,I crept into his house in the middle of the night.,I killed him while he was sleeping.,I was caught by the police.,The police gave me a badge and made me a deputy.,Being sentenced to life imprisonment is terrible.,2
2e2b0ba2-cc01-48ca-983d-50109116c862,Tim bought a record player at a thrift shop.,He doesn't have any records to play.,He asked his parents if they had.,They gave him their entire record collection from their youth.,He thought it was cool and retro when he played the record at the party.,"One by one, he broke records as his parents watched.",1
2406943f-8a63-496d-8585-8ec3abac0f49,Amy wants to be healthy.,She bought a smoothie blender.,She made delicious fruit and vegetable smoothies.,It took 20 minutes to clean the blender.,Amy is determined to gain weight.,Amy was determined to lose weight.,2
0affefb8-3cfd-40fd-b5e5-cddfb5d30428,Tina auditioned for the high school dance team.,"After she finished the dance, the instructor wanted to talk to her.",He said she wasn't skilled enough to make the team.,She left the audition room immediately.,Tina held back her tears.,Tina joined the high school dance team.,1
b6c98944-3cb1-4d9d-877d-bb5d463526a5,Sally on a break from work.,She went to the taco stand outside to buy burritos.,She realised that she had forgotten her purse at home.,A well-wisher noticed what was going on and offered to pay.,Sally was grateful for his kindness.,Sally cried through the rest of the break.,1
80191f19-91bb-40f6-be0d-17f33e002c19,Jennifer wants to join the school band.,She began to learn to play the cello.,"She has made progress, but not very quickly.",She didn't feel she was ready for the band competition.,Jennifer studied very hard to get into the band.,Jennifer has not taken any cello lessons.,1
b088959d-79f1-44e7-9fd1-b69dd14acb87,Fred and his friends went to the beach.,He loves water and sunshine.,"After the sun went down, his friends had a party on the beach.",Fred got drunk and passed out on the beach.,Fred rolled over and fell out of bed.,Fred woke up with a hangover.,2
6d412966-5675-41f1-bd11-65f3a2fa5797,"The other day, Ronnie rode his bike to work.","Suddenly, he hit a rock and fell down.","He was not injured, but his equipment was destroyed.",He continued to go to work anyway.,Ronnie's boss praised him for his dedication.,Ronnie quit as soon as he walked in the door.,1
1a83c1eb-7041-4040-8982-7cb0b63c9c20,Burke did not have many friends.,He always had a sad face when he walked.,One day a stranger told him that he should laugh more.,Burke decided to try and smile.,Burke was soon back to his grumpy self.,Burke loves the distraction of strangers.,1
79afda6c-31b6-4201-ad86-233ab808ef8d,"One evening, Matt was driving home.",He wasn't paying attention.,He hit and injured a jogger who was crossing the road.,Matt freaked out and stopped to check on her.,Matt always paid more attention to the road after that.,"Matt fiddled with the car radio, looking for a better station.",1
953792ed-bd0a-4c95-bc6c-7965187afd82,Brian was excited about the talent show.,He's been doing extra drum practice.,"To express his individuality, he wore a skirt on stage.","When he finished his performance, he received a standing ovation.",Brian is very creative and brave.,Brian is not very creative.,1
8552c047-b700-4b7b-95b9-f149cf26cffb,Halloween is just around the corner.,I decided to decorate my house.,I went to the shop and bought the decorations.,I went home and packed my new belongings.,I love the festive decorations.,I hate decorating.,1
04a3004e-2468-463a-9481-8435917491cb,"One day, the police were investigating a crime scene.",They are haunted by the question of where to go next.,They were given a hint to check at the back of the library.,"There, they found some key evidence.",The police found the perpetrator and locked her up.,The police held a community event to raise funds.,1
844bc94f-b9dd-4c80-874e-b56c300fcca7,Pat has a maths test coming up.,He studied very hard for a week.,Pat doing flash card reading on the bus.,Pat scored a perfect score,Pat was delighted.,Pat was devastated.,1
96736ca6-46ef-4ed0-8a12-3364ae3b27da,Solomon doesn't like his name,"It was too old-fashioned, he thought.","During an interview, the interviewer complimented him on his name.",Solomon suspects that his hiring has something to do with his unique name.,Solomon asked the interviewer a clichéd question.,Solomon thought his name might not be so bad after all.,2
fed543f8-a766-4304-a8ea-d84b18bfadb0,Kylie bought a new bracelet yesterday,She fell in love with it.,"Today, however, when she went shopping, she ended up losing it.",She looked everywhere for it.,"Kelly did her best, but she couldn't find her dog.",She was relieved to find it under the car seat.,2
34e043b3-9511-4589-8d32-3c91f92e0365,My spouse is a big fan of Star Wars and loves it.,I need a gift idea for his Christmas present.,I decided to buy him tickets to Star Wars.,He loved the gift I gave him on Christmas morning.,He used the tickets to take me along to see Star Wars.,"With a disgusted look on his face, he threw the ticket into the trash.",1
9e9c90c8-f951-4f4d-a4a1-9c0885008086,Ben was tired at the end of the day.,The customer wanted spaghetti.,"I was too lazy to wash my plate, but I left my food on a dirty plate.","A week later, the restaurant was sued by a customer.",A special service that invigorates customers.,The customer was angry.,2
5266d0a9-9676-4b0f-9947-5f0b9d2f5227,Yesterday Stacey drove to work.,"Unfortunately, a large SUV hit her.","Thankfully, she was fine.",However her car was destroyed.,Stacey returned to her car and drove to work.,Stacey told the police what had happened.,2
5a68e437-26e9-4c2c-8390-e09787adf317,Karen and Diane have been best friends since they were children.,"Nowadays, they are high school students who are already thinking about going to university.",They both applied to Cornell University and planned to room together.,"Karen was accepted, but Diane was not, which was hard for both of them.",Diane decided she hated Karen even more than before.,"It was hard, but they agreed to go their separate ways.",2
7dd60447-f348-46d6-a9c8-a8c0e1929ebb,"Sadly, our kitten passed away a fortnight ago.",She was a young cat and we don't know why she died.,We woke up in the morning to find her on the floor.,My husband buried her in the backyard.,We miss her terribly.,"Later, we gave her a bowl of milk.",1
04e5efa9-1c6c-4316-9aa3-be095b55f14d,Riley likes to go to the fair.,The petting zoo is her favourite place.,She fed a baby goat before feeding the cow.,"The goat tried to get more food from her, but she ignored it.","In the end, the goat got angry and bit Riley.",Reilly fed the goats extra food.,1
b92f303b-57b3-409d-a126-e8b2ed6dae8f,My sister Sally got in touch with the family last month.,Sally is estranged from her family.,She ran off to get married and didn't keep in touch.,Her husband is now in a hospice.,Sally ended up being my best friend.,Sally wanted to inform her family of her husband's condition.,2
0f16f911-002b-42e5-a03b-0f0d481a7abd,Laura decided to fly all the way to New York City.,She was flown in specifically to have her hair done.,She wanted to have her hair cut by a celebrity stylist.,"When Laura was done, she loved it.",Laura wore a hat all week to disguise her hair.,The compliments she received made the trip worthwhile for Laura.,2
d198e207-13f8-45bf-a627-7f3418b98968,Neil has just arrived in Bulgaria.,His train takes him to the heart of Sofia.,He was amazed at the prosperous capital city.,It was so beautiful and so busy!,Neil thinks the country is wonderful.,Neil hates his travels.,1
caae8e0c-2dd1-40f5-9444-5a41c6ec5093,A man runs along a path in a state park.,He came to a gate in the path.,The gates appear to be low enough to jump through.,The man jumped as high as he could while running.,The man jumped over the gate.,The man walked under the gate.,1
471915a5-c895-42c2-9541-b2aa27f5a419,I waited in line all day to see a film I knew I would enjoy.,I was excited to see this film.,"When I entered the theatre, I was so excited I could barely move.",I watched the whole film.,I thought the film was great!,I left after the first forty-five minutes.,1
4e92b613-219a-4068-a04d-3789c266ab3d,Grayson has been collecting stamps since he was a child.,Now Grayson needs some money to help him pay his rent.,He thought of his stamp collection.,"Sadly, he took them to a pawnshop to sell them.",He gets much less than they are worth.,Grayson used the money from the sale of the stamps to buy a guitar.,1
7077f2e6-ad0a-4c7e-b21e-cd28243d886a,Lance and Adam were best friends.,"When Lance joined the army, Adam also signed up.",They are in the same unit and deployed together.,Lance blocks a shot for Adam.,Adam was never able to repay Lance.,Lance never spoke to Adam again.,1
d96069af-cdd7-42d9-a4f2-1837b3b42d88,I walked inside the dentist's office.,"After signing on the attendance board, the dentist greeted me.",He told me where to sit.,"After that, he started to operate on my teeth.",I left the dentist's office with a signed petition.,"I was nervous, but he reassured me that everything was fine.",2
39d062a5-c89c-462f-a0df-876cba16daf3,Tim kept wanting to play the drums.,His parents bought him a set for Christmas.,He plays these games all the time.,It was too noisy and upset his parents.,"Soon, Tim's parents hated the sound of the horn.",They have set up a space in the garage for him to practice.,2
3541e6f4-8e10-473e-b8d0-2854f882e5e8,I love all-you-can-eat buffets.,There used to be a great buffet next to my house.,It has a wide range of food from all over the world.,The only problem is that it is very expensive.,So I indulge once in a while and it's delicious!,I eat there all the time when I want to save money!,1
cb6da984-9fc8-467a-b366-4d19e2889158,Lilly made cranberry sauce for Thanksgiving.,It was the first time she had met her boyfriend's parents.,The meal went well until she took a bite of what she had made.,She realised she had forgotten to put the sugar in.,Her in-laws thought the cranberry sauce was too sweet.,The cranberry sauce is very tart.,2
2f0b9829-8c65-4cdc-a6c7-e4c5d31b517e,Both of my children came home from university in December.,We decided to have a fun winter holiday together.,"We baked biscuits together, decorated the house and went shopping.",We also made some Christmas presents.,I didn't have a good holiday.,"When I came home from university, I had a wonderful time with my children.",2
f2d8aa08-96e5-4ac7-b8b6-d7198d74e738,"One day, Michael saw a squirrel living in a rubbish bin.",He thought it was cute the way the squirrel said it was warm.,"By the time the rubbish was taken to landfill, the squirrels were gone!","A few weeks later, Michael saw another squirrel in a rubbish bin.",Michael hopes that the new squirrel will do better than the first one.,Michael decided to have his rubbish collected by a dumpster company.,1
a320d13e-5936-4b94-b152-81c7f2880d12,Rob likes Salsa.,So his friend Tom bought him a large box of rare varieties.,Tom was excited to give the gift to Rob.,Rob opened the gift unimpressed and drew a smile.,Rob was delighted.,Rob was disappointed.,1
82491e68-a823-425d-9496-d26a1e8be976,Jennifer jumped off the start line.,She always felt that she was holding the rest of the team back.,She pushed harder than ever to keep up with the other swimmers.,She even overtook a few people and actually came second in her event.,Jennifer was proud of herself for swimming so well.,Jennifer realises that swimming is not her best hobby.,1
1d7c1148-bf98-4578-ac1c-148f12c3595e,Ace is playing cards with a friend.,At first he was happy.,Then he noticed something strange.,One of his friends was cheating in secret!,Ace scolds his friend for cheating.,Ace was happy for his friend.,1
cd2c799f-fe8-4a32-aea4-09bb5cee816e,Paul wanted to buy a gift for his wife.,Unfortunately he couldn't decide what to buy.,He fretted about it for days.,Finally it was his wife's birthday.,He decided to go golfing all day.,So he gave her the cash.,2
0b2e246e-9290-465e-ad33-77af5e681528,Tim wanted to have more of a connection with the natural world.,So he went out into the woods.,"He hears birds singing, the wind blowing and crickets squeaking.",He liked it so much that he built a large tree house and moved in.,He shredded it.,He loved it.,2
9daed93f-ad77-412a-b044-4a8dfe44043a,"After dropping the child off at school, Tammy donated blood.",She drank some juice for energy and then ran a few more errands.,"Afterwards, Tammy went to the gym to take her favourite aerobics class.","Forty minutes into the intense training session, Tammy passed out.",Tammy learnt a valuable lesson.,Tammy has been working out.,1
54804420-28ad-4197-ba66-c1f301f8e4a5,Abigail keeps to a strict schedule.,She takes walks in the morning and in the evening.,She walks around the block for about 30 minutes at a time.,"Sometimes she even takes her dog, Dexter, with her.",So Abigail was able to shed a lot of weight.,Abigail climbs out of her wheelchair and onto the bed.,1
d06963fb-440b-4c26-9a32-2bdaf1bfe246,Eddie always felt different from the others.,Last week he was alone in the lift.,He heard a voice telling him which floor to go to.,It freaks him out and he is seeking psychological help.,Eddie needs medication.,Eddie loves his new friends.,1
36911b38-b7c2-44c1-81c9-6fd7e5baa8b0,Jay woke up in the morning to the sound of the car alarm.,"He ran outside to see what had happened, only to find his car damaged.",Someone hit his car and just drove off.,The rear bumper was destroyed and fell to the ground.,Jay was furious.,Jay had a good laugh.,1
5b361aeb-8082-4fc8-94ab-aa3e4af4e83e,There was a gas leak in a house down the street.,The people who live there don't know.,One day they went to work and the gas filled the house.,A small spark caused the house to explode.,They then returned to their neat and tidy home.,"When they returned, they saw that their house was gone.",2
88340408-893a-4b3b-8401-c4f4935d2d70,Carmen wanted to make a healthier version of pizza.,Carmen must find the recipe for the pizza.,Carmen found a recipe with cauliflower skins.,Carmen went to the shop to buy ingredients.,Carmen's family loved the crust.,Carmen decided to change the name to Domino's.,1
20769e19-7dc2-4cf7-a889-f2e869400ea1,Rufus noticed that his nails were growing too long.,They make a loud tapping sound when he types on the computer.,Rufus decided to cut his nails one night.,"When he finally finished, he felt relieved.",His nails are much shorter.,His nails are too long,1
