InputStoryid,Входное сообщение1,Вход2,InputSentence3,InputSentence4,Случайная пятаяПриговорнаяКвизь1,Случайная пятаяПриговор2,AnswerRightEnding
93d64af4-f815-44d7-b4d7-2cb5aa2394b3,Эми хотела выпрямить свои кудрявые волосы.,Она пошла в магазин и купила выпрямитель плоского железа.,"Она умылась, а затем потратила 2 часа на выпрямление волос.","Прошел дождь, и ее волосы намокли.",Эми была опустошена.,Эми была довольна.,1
3d4e2972-d59b-4077-a16e-0d810743682a,Обожаю это итальянское местечко у дома моей девушки.,"Мы постоянно туда ходим вместе, и это всегда потрясающе.","Мне нравится их выбор макарон, а цены просто потрясающие!","Мы так долго туда ездили, что персонал знает, что мы получаем.","Это так отвратительно, что я предупреждал своих друзей никогда не есть там.","Мы заходим, и еда сразу же на столе.",2
221b2d03-83ca-494d-965c-e75e4d598b49,"Майк - коп, которому выстрелили в ногу.","В него никогда не стреляли, это заставило его задуматься о жизни.","Он не знал, вернется ли он на работу.",Он видел преступление в новостях той ночью.,Майк истерически смеялся.,"И он решил, что это его призвание - бороться с преступностью.",2
49bdca9c-4f31-4864-98bb-6db6e6e8d9ce,Трейси никогда не верила в брак.,Даг научил Трейси снова чувствовать любовь.,Даг и Трейси взяли на себя обязательства друг перед другом.,Даг нарушил свою свадебную клятву Трейси.,Трейси была счастлива с Дагом.,Опасения Трейси по поводу брака подтвердились.,2
c437d896-83d7-45b0-935d-25b20ecb8a5f,Джозеф был в библиотеке.,"Он хотел новую книгу, но понятия не имел, что купить.",С таким количеством вариантов он чувствовал себя подавленным.,Он выбрал новый метод выбора книги.,Он закрыл глаза и выбрал один.,Джозеф спустился вниз и купил мороженое.,1
27675b3b-ba98-4b7e-aca9-fa73a6822c8d,Нил любил Дублин!,Он считал ирландскую столицу живой и дружелюбной.,Но его любимым местом был Троицкий колледж.,Он видел там древнюю Книгу Келлов.,Он наслаждался своим пребыванием в стране.,Нилу наскучила поездка и он уехал домой.,1
bb996fce-3cb3-4f2e-bf0e-f689ee6932f4,Прошлой ночью меня разбудил звонок.,Мой друг устал и застрял посреди дороги.,"Мне пришлось выйти посреди ночи, чтобы помочь.","Было холодно и раздражающе, но я смог помочь надеть запасную.",Друг был очень благодарен за помощь.,Потом я снял шину и оставил его застрявшим.,1
2e62070e-48c9-4aef-8a4c-f304065b9ad5,Однажды летом Грейс вернулась домой с работы.,"Она открыла морозильную камеру, чтобы достать кубики льда для холодного напитка.",Но потом она нашла что-то ужасное.,"Электричество отключилось, и весь лед растаял!",Грейс была очень разочарована.,Грейс была счастлива из-за льда.,1
fa1e1318-d400-4dca-89da-cafd10680944,Гаррисон играл в волейбол с друзьями.,Он ударил по мячу через сетку и забил очко.,"Однако Эмили, в команде соперника также забила.","Игра была ничейной, пока Гаррисон не забил победное очко.",Гаррисон разозлился на Эмили.,Гаррисон был счастлив и взволнован.,2
41f9c7bb-c8ff-4859-bfef-3552f065baa1,Салли участвовала в онлайн-конкурсе и выиграла несколько подарочных карт.,"Лицо, ответственное за призы, получило ее адрес и отправило их по почте.",Салли получила их по почте через несколько дней.,"Она зашла в интернет и решила, что она хочет купить.","Она нашла классную вещь, а потом с радостью ее купила.",Салли не могла ничего купить без денег.,1
0ddb5cc9-a0a3-4d6e-8271-d6e9046164f8,"Фред решил, что хочет начать вспоминать свою повседневную жизнь.",Он ходит в местный магазин и покупает дневник.,"С того дня Фред записывает все, что он делает, в свой дневник.","Спустя год Фред ссылается на дневник, чтобы узнать, как он проводил время.",Фреду не понравился его дневник.,Фред любил читать истории из своего прошлого.,2
8941700e-80b8-457d-8057-5191d6e822ea,Скай поехала в Турцию со своим классом.,Она приземлилась в Стамбуле и начала осматривать достопримечательности.,Все студенты любили архитектуру.,"И они думали, что еда тоже вкусная!",Скай хотел уехать как можно скорее.,"Скай никогда не хотел, чтобы ее поездка закончилась.",2
41006d52-82fa-4f6f-9589-caa9f2c5f3b1,Семья Джосс принимала студента по обмену.,"Джосс боялась, что они с новой девушкой не поладят.","Но когда приехала девушка, они понравились друг другу!",Вскоре они стали ходить по магазинам и постоянно общаться.,"Джосс сказала маме, что студентка по обмену была злой.","Джосс считала, что студентка по обмену похожа на сестру.",2
57f8da4f-6a05-4645-aa53-8adb7afb0679,Джо и Мэри пригласили друзей на ужин.,Собравшиеся на кухне приготовили пиццу.,"Когда пицца готовилась, пары получили настольные игры.",Играли часами.,Все решили больше никогда этого не делать.,Им всем было весело.,2
2ef42f27-39bf-40d8-8636-108de3583103,"Я люблю играть в бейсбол, но ненавижу смотреть бейсбол.","Играть весело, но, честно говоря, смотреть так скучно.","Мой отец любит смотреть, а я иногда сижу с ним и смотрю.","Мы говорим о старых временах, когда мы играли вместе на улице.","Я бы хотел, чтобы он уже скончался.",Приятно расслабиться и вспомнить.,2
88d01e29-7b59-4eec-9070-0607c375b168,Наверху соседи постоянно топчутся.,Даже поздно ночью.,Они почти всегда дома.,"Я пытался поговорить с ними об этом, и они сказали, что будет тише.",Меньше чем через час они опять топчутся.,"Они были так тихи, что мне пришлось вызвать полицию.",1
2a20ef11-6bc5-4192-b59b-d6df5a78a2ba,Робби хотел купить новую шляпу.,"Он проехал час, чтобы получить новую шляпу, которую хотел.","Наконец, когда он добрался туда, он получил последнюю.","Когда он примерял его на нем, он идеально подошел.",Он носил его каждый день.,Он выбросил его в мусорку.,1
732d31b0-0c2d-4ae0-a374-8592dc480df9,"Нил знал, что он должен был сделать во время своего визита в Дублин.","Он не мог уехать из города, не посетив его многочисленные пабы!",Нил видел десятки пабов и выпил десятки пинт.,"Он был очень пьян, но кое-что запомнил наверняка.",Он не забыл вложить деньги в золото.,Он не ездил под влиянием.,2
222074bf-dded-4566-92c0-8dddf5272e37,"Франциско завидует всем своим друзьям, которые катаются на лыжах зимой.","Он решил, что тоже хочет кататься на лыжах.","Франциско работает с инструктором, чтобы научиться кататься на лыжах.",Он очень усердно тренируется.,Франциско стал хорошим серфером.,Франциско стал хорошим лыжником.,2
b4d4c62f-3043-4bd2-b51a-502a93477c41,Саи обычно ненавидел дни фотографирования в школе.,"Они были утомительными, и он никогда не выглядел так мило, как некоторые другие дети.","Чтобы помочь Саи чувствовать себя лучше, мама купила ему новый свитер.","Сай надел свитер, чтобы сфотографировать день, и получил много комплиментов.",Салфетка прогнила.,Сэл чувствовал себя отлично.,2
bb17a4af-4b29-4cc9-9d3d-ffba54fbde43,Алисия припарковала свою машину на улице и направилась в город.,"Она присоединилась к своим друзьям, и они отлично провели вечер.","Стало поздно, и машина Алисии, похоже, не там, где она ее оставила.",Вскоре все десять друзей присоединились к машине в поисках приключений.,Друзья нашли грузовик Алисии.,"Удивительно, что они нашли его на улице, где она его припарковала.",2
62283acf-2724-47df-a5f7-27229dc5acfc,У моей матери была домашняя коза.,Она очень хорошо об этом позаботилась.,"Однажды она поняла, что коза пропала.","Она спросила мать, где он.","Кэти была разочарована, когда ее мать сказала, что на заднем дворе.","Кэти почувствовала облегчение, когда ее мать сказала, что на заднем дворе.",2
a5dbdbe4-d1b4-4cca-abc3-437cea2b8989,Игра была ничейной.,Последнее очко определит победителя матча.,Эрик подал теннисный мяч Биллу.,"Билл чуть не промахнулся с мячом, но ему удалось его ударить.",Эрик ударил по мячу своей бейсбольной битой.,Эрик не смог вернуть удар Билла и проиграл матч.,2
ac3a7c0b-8ef1-4a7e-8f54-b24369873596,"Это был конец лета, и время возвращаться в школу за покупками.","Это был первый год, когда мама Джины разрешила им поехать с нами.",Она отвезла их к Маршаллу недалеко от их дома.,В их ценовом диапазоне было всего несколько вещей.,"Джина была очень довольна нарядом, который она выбрала.",Мать Джины взяла кредит на покрытие расходов.,1
d2110ec7-67be-418b-9e71-5fa884c13740,Белка жила на дереве во дворе моей мамы.,Она начала кормить его арахисом.,"Однажды она заметила, что на ее дереве теперь много белки.",Она начала кормить их арахисом.,Затем она отпугнула белок.,Белки стали чаще приходить к ней домой.,2
656c23c4-7342-4073-a2b4-a6f5fe5e2087,Джина была задержана.,Это был ее первый раз.,"Она разговаривала с друзьями за пределами комнаты, притворяясь крутой.",Внутри ее желудка крутились узлы.,Джина была естественным бунтарем.,"Джина беспокоилась, что ее родители узнают об этом.",2
b22e9193-17b6-4868-be18-d7736063a26f,"Алисии нравилось, где она живет.","Однажды родители сказали ей, что переезжают.",Ей было очень грустно.,В день переезда она попрощалась со своими друзьями.,Потом они переехали в свой новый дом.,Алисия была счастлива покинуть свой старый дом.,1
77034191-c785-4040-8824-3c6435ef0bec,Брайана попросили присмотреть за его собакой друзей.,"Они оставили записную книжку, чтобы вести журнал.","Он бы обновлял его с учетом времени, когда он туда ходил.",Прямо перед возвращением он оставил сообщение об их времени.,"Он был счастлив, что его друзья считают его заслуживающим доверия.","Он должен был признать, что ему не очень нравится их кошка.",1
3b074fb8-11c0-4bb5-b6eb-3a1870fd0cda,Прошлой ночью я отметил запеченную курицу.,"Когда я поставила духовку, я ушла.","К моему ужасу, я почувствовал запах чего-то сгоревшего.","Я заглянул в духовку, и курица была испорчена.",Вместо этого я заказал пиццу.,"Мне понравился новый плащ, который я купил.",1
800c65e1-0a7d-4058-a943-a2f22efa1251,"Лора проснулась рано, чтобы успеть на занятия вовремя.",Она приготовила себе завтрак перед отъездом в школу.,После завтрака Лора ушла из дома и села в автобус.,"Когда она пришла в школу, она увидела табличку, на которой было написано, что занятия отменяются!","Лора чувствовала, что зря потратила время.",У Лоры был хороший день в классе в тот день.,1
e6aa4d18-ca05-41c2-a28b-067c52d59be1,Девочки пошли в бар.,Они открыли вкладку.,Они выпили пару стаканчиков.,Наконец-то они решили закрыть свой счет.,"Они пошли домой, говорили о своей ночи.",Они сели в самолет.,1
4e219458-ab81-43ad-8c03-a5e04313bb3f,На прошлой неделе мне пришлось произнести большую речь.,"Я никогда не готовилась, и только новые основы.","Я подумал, что просто войду и притворюсь.",Я использовал большие слова и старался звучать умно.,"Это сработало, и речь была воспринята хорошо.",Я перестала говорить и пошла домой.,1
39e4750c-7552-4768-8090-68e982acbae5,Вниз по улице от Алисы было потрясающее итальянское местечко.,Она ходила туда почти каждую неделю.,"Она любит пасту, которую там подают.","Однажды она попыталась пойти туда и узнала, что они закрылись.","Элис была расстроена, что ей пришлось довольствоваться китайской едой.",Она пригласила всех своих друзей присоединиться к ней в том ресторане.,1
5166cfca-16ab-4e30-b944-115a9819ad1c,У меня кончилась лапша.,Я сел в машину и поспешил в магазин.,Я купил свою любимую марку лапши.,Я поспешил домой.,Я приготовила лапшу.,Я выбросил лапшу в мусорку.,1
43d18abf-80a4-46c7-b81e-64389881989f,Питу пришлось встретиться со своим риэлтором.,Он скоро должен был купить дом.,"Пит не смог найти контракт, который ему дал риэлтор.",Он осмотрел весь дом.,Наконец-то он нашел его в гараже.,"Пит решил, что это будет отличное время для поездки в Вегас.",1
05f00a90-899f-4138-8452-352e2787ef9d,"Фред любил парк развлечений, но никогда не катался на американских горках.","Друзья дразнили его, что он боится высоты.",Однажды в парке развлечений он решил посмотреть в лицо своим страхам.,Фред ездил на самых быстрых и страшных американских горках в парке!,Он решил пойти домой и поплакать.,"Он был так счастлив, что так и было, и любил парк еще больше.",2
b760d9ca-110e-41da-bee3-7e21a59c10c3,Венди купила немного масла для ванны онлайн.,Она неправильно прочитала инструкции и нанесла их по всему телу.,"К ее ужасу, ее кожа стала розовой.",Она сразу же пожаловалась в компанию.,Венди с радостью купила еще масла для ванны.,Компания выплатила Венди полный возврат денег и принесла извинения.,2
84b1b98f-1e3b-460b-92a7-ef7b8f87e76a,Джексон всегда избегал употребления алкоголя.,"Он знал, что алкоголь вреден для здоровья и может ухудшить рассудительность.",Однако однажды босс Джексона пригласил его в бар на пиво.,"Джексон обнаружил, что ему нравится вкус пива.","Он решил, что у него будет два.",Рик выплюнул свое пиво.,1
48d93df4-f763-4964-b61c-c8a281b27257,Лягушка проголодалась на поздний ужин.,Он посмотрел через пруд и шпионил за мухой.,Лягушка тихо подплыла к мухе.,"К сожалению, муха увидела его и жужжала.",У лягушки никогда в жизни не было такого полного желудка.,Лягушка все еще была голодна.,2
e7f2f98f-c44e-448a-985c-cf849cc079d5,Оскар так и не застелил свою постель.,Его мама всегда этого хотела.,"В конце концов, он решил начать заправлять постель.",Его мама гордилась.,Она угостила его десертом.,Она накричала на него.,1
f403cad9-dd10-45b4-84c0-940adb678035,Однажды я гулял по лесу.,В нескольких ярдах я увидел красную змею.,Я немедленно замерзла.,Я начал медленно идти назад.,Потом я побежал к змее.,Змея укусила меня.,2
899bb94a-66ec-4a36-a26d-131571aff33a,Мать Мэтью была занята работой за компьютером.,Мэтью кричал.,Мэтью растоптал.,Мать Мэтью уступила и бросила работу.,Мать Мэтью закончила всю работу за компьютером.,Мать Мэтью посадила Мэтью в угол тайм-аута.,2
c39a117f-2925-45d7-8bbb-41aeb4288587,Я часто охотился.,"В прошлый раз, когда я вернулся домой, я охотился по ночам.",Я долго молчал.,"В конце концов, я увидел что-то движущееся в темноте.",Я проигнорировала это и пошла домой.,"Это был олень, которого я смог успешно преследовать и стрелять.",2
43581cb2-1ab6-4999-bac4-ad9ad9afc9d4,Джек и Чад спустились вниз по стене Большого Каньона.,"Джек сделал паузу, чтобы сделать снимок, наклонившись, чтобы получить хороший угол съемки.",Джек случайно сел на кактус.,Иглы теперь застряли в штанах Джека.,"Потребовалось 20 минут, чтобы снять иглы и продолжить восхождение.",Джек мог взбираться без всякого дискомфорта.,1
ebe0057c-473b-4a3b-8361-746a9fbbf39c,"Эми, Линн и Ким пошли в магазин возле дома Линн.","Пока там они видели, как Линн раздавила Джима.",Он был мешочником в магазине.,Они остановились и поговорили с ним.,Джим пригласил Линн на свидание.,"Линн сказала Джиму, что он непривлекателен.",1
4f062272-6c07-4f43-9e8b-ff12ba8dc264,Райли был не очень популярен в школе.,Она носила забавную одежду.,Однажды ее подруга предложила им сделать макияж.,Райли согласилась прийти в себя.,Райли выглядел намного лучше и был хорошо принят.,Райли перестал быть друзьями.,1
401dd8df-ea68-43e6-b446-4320f891ee9d,Айя хотела быть моделью.,"Она думала, что у нее есть шанс, так как она худая и красивая.",Поэтому она участвовала в ежегодном городском модельном конкурсе.,"К ее шоку, она выиграла конкурс.",Айя была очень довольна результатами конкурса.,Айя была очень расстроена результатом конкурса.,1
6a8bdf10-7442-4f8e-8f3c-073efed3b7a0,Джаред был наказан на неделю.,Он никогда не убирался в своей комнате.,"Родители сказали ему, что он получит выходные за уборку пыли.",Он обходил весь дом пылью.,Родители дали ему три выходных.,Родители выгнали его из дома.,1
d26b71ef-6d65-4a35-a8b9-400cb8068d76,Однажды утром Анна шла в школу.,Она вышла на пешеходный переход на главной дороге.,В нее внезапно влетела машина и сбила ее.,Анна была раздавлена и ее нога была сломана.,"Анна подала на них в суд, но ничего не получила, потому что у них не было страховки.",Анна пошла в клуб и танцевала всю ночь напролет.,1
13cde7cf-2c08-435e-9bcb-5ec5caa5d71d,Рон и Ким хотели новый дом.,Рон решил работать сверхурочно на работе как можно больше.,За несколько лет он сэкономил все свои сверхурочные и имел много денег.,Они с Ким начали покупать новый дом побольше.,Они купили хороший дом в новом районе.,На эти деньги они оба купили спортивные автомобили.,1
f95c252d-06a5-4b36-9d97-fd49781cb41b,"Я написал электронную книгу, которая нуждалась в обложке.",Я сделал несколько обложек книг в Photoshop.,Я поделился своими творениями с несколькими людьми.,Я попросил людей проголосовать за Обложку А или Обложку Б.,У меня нет компьютера.,Большинству людей нравилась обложка А.,2
431d1f9b-b5af-4bc7-84bb-5ba8cc43fe93,На прошлой неделе мы купили новый кошачий пост.,Старая была очень изношенной.,Наш кот очень разборчив.,"Пост сделан не из сизаля, она его отвергнет.","Кошка приняла новый столб, сделанный из сизаля.","Кошка отвергла новый столб, сделанный из сизаля.",1
d5f57be5-3ca5-416e-b525-8cc2193b600a,Дэниел хотел зарекомендовать себя как писатель.,"Дэниел создал сайт, на котором он мог разместить написанную им статью.",Сайт медленно создавался и привлекал к себе внимание.,"Здание и завоевание были слишком медленными для Дэниела, чтобы преуспеть.",Дэниел ненавидел писать.,Дэниэл должен был найти настоящую работу.,2
3eb84632-b959-4a0a-aae3-f79c4a515cdb,У Джеффа был баскетбольный мяч в руке.,"Гэри размахивал руками с тех пор, как был открыт для выстрела.",Джефф проигнорировал его и побежал к обручу.,Двое охранников приближались к нему.,Охранники украли мяч у Джеффа.,Гари поблагодарил меня за заботу.,1
dc91bd65-f0ca-4cbe-9e1f-73da6aefd7e5,Папа отвез нас в лес в лагерь.,Он научил нас строить огонь палками.,Он помог нам научиться делать собственные палатки.,"Мы заснули, считая звезды на небе.",Мы больше никогда не будем ходить в лагерь.,Мы прекрасно провели время в походе.,2
9bfb6178-81b2-4ea4-8571-3fc395b35de4,В конце недели я пошел на местный рынок.,"С тех пор, как несколько вещей было выставлено на продажу, я посмотрел на них.",Некоторые из них были овощами и соками со скидкой 50%.,Я взял несколько вещей и пошел на кассу.,Мне нравилось заключать хорошие сделки.,Я решил бросить свой шар для боулинга на прилавок.,1
cd7faa5b-6895-4a34-a737-0b2efd11d8ae,"Джоуи работал в отличной компании, но ее часы были сокращены.","Компания сказала, что они должны отпустить ее и уволить.",Джоуи сразу же начал искать другую работу.,"Ей было тяжело найти работу, но она дала работу, обыскивая ее всю.",Джоуи наконец-то получил звонок от работодателя и получил работу.,"Джоуи провел свои дни, играя в видеоигры.",1
03e1ec4c-f6e5-45bf-8ced-3d335a1d01fc,Джо жил одинокой жизнью.,"Ему никогда нечего было делать, кроме как смотреть телевизор.",Однажды он решил встретиться с людьми на Крейгслисте.,Он смог завести новых друзей.,"Джо заказал несколько новых кабельных каналов, но все равно был недоволен.","Он был намного счастливее теперь, когда у него есть спутники в жизни.",2
edd7b992-5e79-4359-8f60-99051b557b38,Ня пыталась питаться здоровой пищей и следить за своим весом.,Но однажды ночью она жаждала комфортной еды.,Она решила заказать жареную курицу и картофельное пюре.,"Она ела жирную, жирную пищу с привкусом.",Ня решила есть одно и то же каждый день.,"Позже Ня пожалела о том, что ела нездоровую пищу.",2
027408de-1e4b-43c6-805f-6e3ecce5aa65,Обычно утром во Флориде спокойно и тепло.,Вчера утром было очень ветрено.,"Фасады пальм так сильно дули, что они поцарапали окна.",Я включил телевизор и включил предупреждение о торнадо!,В двух кварталах от дома случился торнадо!,Поэтому я вышел поиграть на улицу.,1
ce715a40-f9c1-436f-87fd-8f582337b5a3,В последнее время я занимаюсь искусством.,Я получил инструкцию по рисованию на Рождество.,В книге есть список необходимых принадлежностей для рисования.,"На днях я пошел в магазин и купил то, что мне было нужно.","Я решил, что не люблю рисовать.",Я пошел домой и потренировался в рисовании.,2
e173545d-f2fa-4f12-b117-58b2def77753,"Лиза начала понимать, что ей не нравится изучать бизнес.","Она хотела изучать искусство, но беспокоилась о том, чтобы зарабатывать деньги.","Наконец, однажды у нее хватило смелости бросить школу.","Ее друзья и семья сказали ей, что это безумие - уйти из школы.","Лиза все еще уверена, что ее выбор сделает ее счастливой.",Лиза получила диплом по бизнесу.,1
edd718b9-d7fd-4109-9645-501281ad3335,Мэри хотела пойти в поздний фильм.,"К сожалению, у нее была школа и строгие родители.","Она ждала, пока все уснут и улизнут.",Она посмотрела фильм с друзьями и отлично провела время.,"Когда родители поймали ее, она была наказана.",Друзья Мэри были очень разочарованы в ней.,1
a7e0d548-30b7-4d6b-b94b-746718b06b10,Айви пригласили на нестандартное свидание.,Ее влюбленный Питер попросил ее пойти в поход!,Айви согласилась.,Они пошли в лес и ходили в походы часами.,Потом они смотрели на закат со скалы.,Айви вернулась домой и больше никогда не разговаривала с Питером.,1
9da06a52-ae28-4a98-b5c8-aa143b89dffd,Человек пошел проектировать самую высокую башню в мире.,Он нарисовал планы сделать его в два раза выше нынешнего самого высокого.,Он взял планы на строительство у девелопера.,"Застройщик спросил его, какого роста построить башню.",Человек не был строительным проектировщиком.,"Человек построил башню, и она была великолепна.",2
ac55ff95-89fb-452d-9a58-8894d2cd4954,"Лорен и ее сестры на этой неделе посещают Джексонвилль, Флорида.",В последний день поездки они хотят сфотографироваться вместе.,Лорен и ее сестры позируют перед милым кафе.,Она разработала картину и посылает каждой сестре копию.,"Она смотрела на то, как они с сестрой похожи.",Она порвала фотографию и выбросила ее.,1
ae6a3c38-eb49-4e7d-b185-8f9bf0618bbf,Лиз нянчилась с 5-летним мальчиком.,Он хотел поиграть в прятки.,"Она нашла его несколько раз, но потом он исчез.","Она становилась бешеной, когда искала его в доме.",Лиз надоела игра и вздремнула.,"Когда она услышала, как он хихикает из шкафа, Лиз почувствовала облегчение.",2
914f41cd-4518-492b-97c7-f13b82c29f76,Марк опаздывал на работу.,"Он пытался успеть, превысив скорость.",Дорожный полицейский остановил его.,Ему выписали штраф за превышение скорости.,Марк опоздал на работу.,Марк рано пришёл на работу.,1
746bea88-d387-436e-afef-f5e92a2f8929,Эми всегда хотела играть на флейте.,В первый день группы она так сказала учителю.,Она тренировалась на своей флейте каждый день в течение недели.,Было ужасно тяжело играть на флейте.,Эми была очень преданной.,Эми мало интересовалась флейтой.,1
bc18f305-4f3b-4296-a5ff-702dd706322c,Эмили отвела своего ребенка в зоопарк.,"Они видели много животных, в том числе львов.",Ее ребенок очень боялся львов.,Он начал кричать и плакать.,Ребенок Эмили подошел ближе к львам.,"Эмили забрала своего ребенка, чтобы утешить его.",2
12807d27-8002-4330-91bf-1802fd3b5eff,"Ким могла бы завести щенка, если бы забила корзину в игре.",Она тренировалась весь день дома.,Она тренировалась в спортзале после школы со своей командой.,Наконец-то это был день большой игры.,Ким забила корзину и взяла щенка.,"Ким была расстроена, когда у ее семьи появился щенок.",1
558a065f-e37a-4e6b-8d2a-3a4d962ba1fe,Кайла не была на светском мероприятии почти три года.,Она страдала от калечащей тревоги.,"Чем дольше она оставалась без общения, тем труднее становилось.",Ее брат нервничал из-за нее и отвез ее к психотерапевту.,"Кайла думала, что это было лучшее свидание, которое у нее когда-либо было.","Кайла сказала терапевту, что у нее было самоубийство, и попросила о помощи.",2
f1e433e3-6cbe-4d7d-afee-3a39dc9d28ad,Рикки упал во время похода в лес.,Он был в ужасе!,"Он думал, что упал в пластырь с ядовитым плющом.","Затем он использовал свой путеводитель по природе, чтобы определить растение.","Он с облегчением узнал, что ошибался.",Рикки промок от падения в пруд.,1
71ddd569-e638-4f14-8bf3-60bd188f9971,"Мой муж любит мороженое ""Блю Белль"".",Не так давно Blue Belle отозвали и бросили производство.,"Мой сын работает в Крогере, у них недавно была встреча по поводу Блю Белль.","Мороженое ""Блю Белль"" прибыло в Крогер на прошлой неделе.",Мой муж так благодарен!,Мой муж так разочарован!,1
12cf3857-c4b8-4733-9d39-e0b31f75fa4b,Ральф ненавидит шоппинг.,Его мама заставляет его уйти.,Они там уже давно.,Ральф помогает маме загружать и разгружать продукты.,Мама Ральфа наказывает его за отказ помочь.,"Он удивляется, когда его мама дает ему деньги за помощь.",2
fc53b072-2682-446b-b2f1-b3e2bc2ee73d,Кайла одолжила книгу у сестры.,"Она принесла книгу с собой в кафе, чтобы почитать.",Кайла случайно пролила немного своего ванильного латте на книгу.,"Она немедленно пошла домой, чтобы сообщить сестре.",Кайла была единственным ребенком.,Её сестра сошла с ума!,2
17ac6b6a-38c7-4d0c-92f0-cd1d0dc76827,Лора рассказала историю о горящих лифчиках в 60-х годах.,"Толпа взбесилась после того, как узнала эту личную информацию.","Лора заверила толпу, что это было давно.",Она сделала свою ставку на президента.,Затем Лора была импичментирована страной.,Затем Лора была избрана страной.,2
4ff0bfb1-66ea-436d-858e-856e45b3f2e6,Чарли хотел быть офицером полиции на Гавайях.,Он сдал экзамены и был нанят в Гонолулу.,Чарли нравилось общаться с обществом.,Чарли не понравилось количество коррупции в полиции.,Чарли начал брать взятки.,"Чарли поклялся все изменить, если его когда-нибудь назначат шефом.",2
96d9d324-0868-40bc-9959-1aae94dd3b55,"Соседи Шона заметили, что его одежда и постель начинают пахнуть.","Они сказали ему, что ему нужно постирать его белье довольно скоро.","Сначала Шон протестует, но в конце концов он чистит свое белье.","Его соседи благодарны, что Шон больше не так плохо пахнет.","Соседи Шона очень разозлились, что он не слушает.","Они сказали ему больше никогда не ждать так долго, чтобы постирать.",2
1c3e9a4a-661f-48de-8107-e12331ef4674,"Моя подруга хочет стать врачом, поэтому она взяла MCAT.","В первый раз, когда она взяла его, она не получила достаточно хорошего результата.",Она очень усердно училась и снова приняла это.,На этот раз она отлично справилась!,"Она никогда больше не обсуждала это, и не стала врачом.","Мы пригласили ее выпить, чтобы отпраздновать.",2
48bc580e-3694-4441-ac99-b175ecc1aa02,"Келли спустилась к океану, чтобы расслабиться.",Она сразу же пошла и вставила ноги.,"Однако, когда она вставила ноги, волна захватила ее.",Ее одежда промокла.,Келли пошла домой переодеться в сухую одежду.,"Келли была очень счастлива, что мокрая одежда промокла.",1
7efd5758-6c1f-4c3f-a78f-474683a8a688,Бен был рад впервые пойти на рыбалку со своим дедушкой.,"Тем не менее, он нашел, что класть червей на крючок отвратительно.",Он случайно проткнул палец одним из крючков.,"Бен вскоре понял, что рыбалка не для него.","Бен спросил дедушку, когда они смогут пойти на рыбалку.","Бен спросил дедушку, не могли бы они посмотреть фильм вместо него.",2
51331d6f-f1df-4163-8747-ec4c7d5b1d8a,Амелия готовилась к свиданию в хорошем итальянском ресторане.,Подруга Амелии устроила ей свидание вслепую за неделю до этого.,Она пришла в ресторан пораньше и ждала своего свидания.,"Прошло 30 минут, а ее спутник не появился.",Амелия вернулась домой.,Амелия была очень счастлива.,1
3200606c-05e1-4aca-93e9-047de5a933ec,Мама очень хотела сфотографировать мальчика с Сантой.,Мальчик испугался и отказался.,"Мама сказала мальчику, что Санта несет ответственность за подарки.",Это изменило мнение мальчика.,Мальчик надеялся получить много подарков от Санты!,"Мальчик ушел, не сфотографировавшись.",1
